gene,SUB-00055,SUB-00056,SUB-00057,SUB-00058,SUB-00059,SUB-00060,SUB-00061,SUB-00062,SUB-00063,SUB-00064,SUB-00065,SUB-00066,SUB-00068,SUB-00215,SUB-00216,SUB-00217,SUB-00218,SUB-00219,SUB-00220,SUB-00249,SUB-00250,SUB-00251,SUB-00252,SUB-00254,SUB-00255,SUB-00256,SUB-00257-2,SUB-00296,SUB-00304,SUB-00312,SUB-00320,SUB-00334,SUB-00342,SUB-00350,SUB-00358,SUB-00366,SUB-00373,SUB-00381,SUB-00387,SUB-00393,SUB-00399,SUB-00405,SUB-00411,SUB-00417,SUB-00423,SUB-00429,SUB-00435,SUB-00461,SUB-00467,SUB-00477,SUB-00482,SUB-00488,SUB-00556,SUB-00561,SUB-00563,SUB-00568,SUB-00574,SUB-00581,SUB-00586,SUB-00594,SUB-00596,SUB-00599,SUB-00603,SUB-00607,SUB-00611,SUB-00615,SUB-00627,SUB-00637,SUB-00644,SUB-00646,SUB-00650,SUB-00654,SUB-00658,SUB-00660,SUB-00663,SUB-00668,SUB-00672,SUB-00677,SUB-00680,SUB-00732,SUB-00747,SUB-01174,SUB-01180,SUB-01186,SUB-01279,SUB-01304,SUB-01312,SUB-01320,SUB-01374,SUB-01380,SUB-01386,SUB-01390,SUB-01394,SUB-01398,SUB-01414,SUB-01424,SUB-01428,SUB-01437,SUB-01452,SUB-01468,SUB-01475,SUB-01481,SUB-01487,SUB-01493,SUB-01499,SUB-01505,SUB-01511,SUB-01517,SUB-01527,SUB-01531,SUB-01535,SUB-01539,SUB-01551,SUB-01562,SUB-01568,SUB-01574,SUB-01580,SUB-01592,SUB-01598,SUB-01608,SUB-01629,SUB-01636,SUB-01639,SUB-01658,SUB-01983,SUB-02157
ENSG00000000003,368.0583613,213.5611575,531.9733116,288.9040825,369.1600227,448.3989315,465.8955691,585.152335,167.0439607,597.2133427,286.0399831,253.0128462,193.4497257,246.180804,440.1322454,164.2880271,405.6448284,88.5989082,600.9600201,342.986674,755.4532896,729.5333544,31.21188241,141.6087579,512.4799414,997.4666641,352.6000178,541.2853639,212.3219655,566.6402996,0,108.3239655,293.1200146,298.0801033,498.7066679,880.9979995,432.2133439,692.7332707,412.5541648,938.5333781,162.1882443,648.7658725,215.1639748,507.6329402,204.7182239,342.875825,304.3200052,154.3176483,3.0899218,201.5599846,371.7867126,305.5466428,565.9448035,161.5315103,215.5125656,318.8196415,65.69122488,613.8340036,921.7866593,277.6000104,352.1733355,57.55879687,88.64792221,207.0133342,462.2933204,466.5942661,244.5066653,24.14222869,582.039943,78.86383279,94.97601248,310.000034,320.2533149,18.82667585,393.3855735,268.3333675,119.8267144,189.4800168,344.5133288,240.7866542,107.0161988,1.215978,222.0305617,157.186677,98.07336952,69.69197164,163.2266357,156.0668832,35.18599775,89.64138072,59.46435505,194.354416,63.60990253,241.4011093,82.75096539,119.0477018,210.7362373,291.7466464,133.0266826,12.01088167,127.5037117,98.46584216,68.35090989,132.3066873,442.0266852,208.4400207,121.6000144,253.1733444,188.5466561,131.239357,224.266668,235.8933249,399.8400067,172.0399985,338.0866422,67.98597867,325.6133058,157.0541877,299.4933251,374.8799925,331.1200065,14.81463933,320.4246906,129.499153,195.2133226,338.5949097
ENSG00000000005,0.750026827,0,0,0,0,20.78667171,0,0,0,0,0,0,0,0,2.746668107,0,0,0,0,0,0,0,0,0,0,29.50666819,0,0,0,0.316838747,5.386663387,0,0,0,3.29765808,0,0,0,0,0,3.560000533,5.440003413,0,0.670360053,0,0,4.800002587,0,0,0,0,0,0,0,0,0,0,10.4029312,0.38031056,0,0,0,0,0,0,0,0,0,0,0,7.186667067,0,0,0,0.121400773,0,0,0,0,0,0,0,0,4.773336187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29333376,0,0,0,0,0,0,0,0,0,0,0,8.89333112,0,0,0,0,0
ENSG00000000419,1989.960006,487.0331977,875.4600519,44.3742966,742.4931883,774.5686114,1619.866743,1103.3505,1654.239719,1050.328558,35.16244211,56.47454423,1217.080013,982.7173442,314.4931194,970.9332943,1555.75349,462.8640039,1331.999961,36.44127296,1363.586684,782.799991,827.8035001,333.1466568,930.6160879,1956.146724,896.6066199,447.4093585,1398.866228,1299.056399,90.53522899,852.4098479,162.6917728,1675.653143,801.7200073,358.8962378,1106.040705,935.7199323,165.3259886,1728.984027,1995.320172,1194.826657,108.3579172,721.1053585,685.6799862,1775.720003,403.1722427,73.76255747,302.1866875,190.9139106,743.0133266,953.613338,1053.453335,1112.160192,113.5588287,108.2462104,147.4594556,2594.493431,458.9056486,574.3738562,232.4127413,62.85522829,1779.986512,110.8254807,955.3331189,277.4286931,369.3946643,72.81150879,249.2425032,159.1466658,1448.946666,501.0114964,1026.293145,1011.359987,428.724038,750.8533252,472.506679,135.1421057,133.1758956,587.920014,357.1398068,697.266862,1038.866577,137.5403458,1079.786601,761.5597738,818.7599537,751.1465994,270.5962568,330.0606204,225.9497275,972.6400537,900.7999963,335.1896554,636.1733688,103.9490517,565.7999574,684.4533199,87.09232324,667.147073,763.4132686,570.1756377,149.3199935,303.9566292,784.9332892,128.996665,192.3883127,267.0882193,644.829758,787.3200403,464.8017387,624.4985341,966.0000952,569.0000265,459.2892869,285.8154626,522.5275872,739.7866199,516.7333148,863.0134792,996.1199857,675.9835799,913.23999,373.8316752,165.5867155,119.8309628
ENSG00000000457,1481.338467,502.1076704,858.913364,0,535.7164152,827.6411228,1189.806744,1557.649577,938.488475,921.7812003,604.7487945,337.6122164,909.122146,776.9975493,1205.991431,640.7822187,1969.441233,770.0601662,1537.548339,470.9718497,1462.443733,942.8639966,1097.904608,550.7210546,1016.646318,863.6467893,500.2671669,712.0521566,1177.224992,609.7483208,360.4533987,563.4906547,506.3740741,1340.161803,704.4686827,995.404242,565.0876566,1219.567032,701.3723525,1681.97755,1621.386761,19.16190352,1008.210024,1357.557791,992.7299997,1339.944969,731.4373274,663.622864,416.0184144,390.030706,847.220028,885.4407626,732.8996002,1281.282571,0,212.1275886,578.8829199,2517.29219,997.3333966,758.7858845,401.035953,389.466654,1403.862503,401.5071094,723.3004981,554.2420497,478.8681876,501.3139275,415.8400852,238.1085819,1427.462417,329.5428701,1200.580765,863.736865,1100.646809,785.1756858,518.7395421,351.7281418,804.2952081,640.3004514,827.4292544,549.6154484,963.0262441,443.8431223,1190.875609,768.8799189,934.9689377,815.9251456,677.7384094,579.6500227,579.8216138,652.8548446,705.7552114,844.299207,580.9528439,528.0019435,668.4191165,566.796732,394.0934134,460.5600269,620.4358465,606.1863012,251.8629646,430.5314731,662.6990779,0,0,412.8248953,537.8200626,795.6444626,411.9151665,581.551136,773.6596155,620.6532473,730.1555865,388.1723591,880.5452843,660.346864,1017.583079,667.4517341,728.2137268,748.9147855,1090.275756,715.4679976,424.5160298,1337.987787
ENSG00000000460,483.8679358,315.3463153,390.7793493,34.24515289,345.7307894,283.5384118,354.3876143,254.9821603,162.0085176,205.4777073,239.9330634,26.83063615,101.8254997,39.35899441,289.077425,268.1881419,623.5269955,119.8168978,343.435918,247.8533723,366.7284648,509.296707,320.0374054,46.80238105,236.7702656,605.4638358,9.49263032,517.8734627,365.7486518,327.0636979,0,270.2793306,207.943035,19.20031045,469.3939382,650.1316328,314.7412849,462.416167,533.5633097,507.6892475,466.8969646,298.2698352,758.24435,249.3846268,43.42388653,136.36012,381.2508181,150.6285136,20.95671373,0,5.280057267,306.9432063,349.0619251,479.1749428,28.84790399,159.3960767,259.1143942,760.5201808,187.5325435,237.0679909,192.2189792,116.7725203,100.0170206,284.4140045,247.9493514,114.7972661,29.06020468,111.5901234,9.303902347,0,65.76739907,345.6127189,257.6868163,213.5866183,605.143805,134.0604293,226.2742544,0,419.2301803,5.066268547,68.4199952,28.17519196,6.567256613,21.5101612,291.3328228,9.06791544,185.5571893,3.237792333,0,170.0541875,268.577747,25.50707789,5.494536507,0,8.1333432,191.8482893,8.857827667,18.46836888,18.89331099,17.25384387,23.844684,91.36412537,18.26825369,119.2815027,0,1.9904216,267.3082001,38.62700796,11.97720584,245.6380039,111.0073307,0,266.0351767,36.94666395,344.3598349,446.2366421,58.07520341,327.707035,336.6560761,193.522016,124.9433039,0,36.82302167,273.6310785,223.2344298,464.5991398
ENSG00000000938,274.5733478,185.3066601,244.4133147,60.19481133,172.9170707,158.7333471,211.0000127,404.9466736,411.2932709,386.9999387,174.3932829,638.7659584,21.16000292,144.7866636,163.0133325,113.4533192,3.227929787,0,143.5600315,322.9870691,192.1133593,362.4799794,0,47.20068499,162.4133297,410.6666641,532.0133173,0,69.37334733,137.1599776,0,178.5466856,4.22666636,0,8.635893187,556.058978,0,560.4912122,378.7066916,9.74666476,5.480000773,3.205214973,56.33537349,122.120006,4.5733366,149.7600261,85.8799968,286.6133167,446.6933042,312.626656,91.84560377,2.422880227,129.8533233,125.3066687,241.2133241,422.8199848,91.83380133,238.4800107,175.5510991,209.4400124,90.32002283,192.8933281,163.4533413,367.2267097,4.61896408,800.308699,286.0399953,99.071112,591.865875,1046.427684,167.1956039,177.5066524,84.18285933,77.53723643,561.3999726,358.6933394,4.78176244,703.5135779,200.4139725,115.7333265,268.4533579,115.8000096,16.71333625,0,103.7866752,17.82666517,278.8399906,37.21991236,156.519995,269.3733363,9.731953093,236.7199827,0,100.693345,0,16.7200056,0,0,2.06228596,851.9256408,109.2933388,128.3866661,180.3988699,19.76514523,80.89332257,227.1866526,0,43.94187235,0,0,104.7866861,7.026663187,0,112.4533165,158.946684,277.6532989,133.9333673,194.5466719,316.5199701,176.9733411,11.50444185,3.461388093,177.4933442,135.8133603,157.8133434,153.3733502
ENSG00000000971,6730.341028,405.1999728,4263.049101,1173.23448,497.7645924,1500.513606,1201.930233,2311.819065,1551.495953,3630.207178,1150.207204,1770.292292,764.3232322,569.693286,1162.151029,1125.121171,737.9643524,837.2332621,643.1867417,1042.369431,1547.33262,2517.104115,599.764039,500.3392171,1205.300782,2240.480521,336.9817839,403.5430545,438.2400108,863.2760525,1.301155013,441.908432,664.6340097,476.7267538,217.3733303,1936.622556,394.9333246,1103.278801,1510.225014,364.0866404,586.7800031,389.1400206,581.0533119,272.1600091,2.862710333,1077.41054,517.4733698,1149.660114,560.3707008,683.3242471,307.3411816,6.983990133,808.1083092,751.6451464,1056.542966,1412.313193,1564.993401,957.6715348,1765.917659,479.1825118,535.407302,746.9666859,1503.737837,816.2732539,464.5000524,638.466614,252.988652,657.5734614,3030.398188,1981.665559,546.4563984,631.9333457,331.6866254,719.6067025,365.6892428,1685.763967,282.405494,2039.649481,817.1933013,0.51899068,572.7590038,4.004916427,476.1533623,1280.458542,454.3199894,2.115817373,876.4000366,407.6643141,1.41868992,1083.586224,267.100015,722.5533435,0.075922,280.9568224,213.0999841,2.768323053,209.9333374,5.864435053,65.44716565,1009.446713,290.084522,817.5179092,440.2666928,0.671960667,347.3504754,1141.663203,10.08522812,6.938433333,13.34211131,293.0066392,5.06371368,1.91088884,610.2895048,884.3600361,933.2707384,314.8070131,763.4259949,617.3225651,1187.180311,912.4233742,338.4666239,236.706673,289.4666672,883.1666963,1073.78359,446.4334602
ENSG00000001036,850.5450559,678.5335857,683.9444735,567.2399956,640.2608249,583.617997,571.5256565,872.5908508,1594.288727,716.3611869,514.8055779,620.0137767,938.673458,1097.125893,893.2812867,1194.384453,1206.895681,494.7466764,1189.593482,597.6852401,1171.231637,824.5423382,818.2450911,939.2331334,961.7487812,1767.997439,1118.624742,1266.639019,857.6253199,1107.394522,24.40300353,1098.429557,636.0303075,1096.719784,749.2935595,1566.086455,935.5225102,1445.550076,723.6288043,1501.405649,1115.189432,865.5038771,1118.848137,897.4299772,703.7200326,1047.476182,614.6476616,935.2151595,550.6484819,499.018329,613.6747868,1067.50541,423.8140491,841.7101865,431.5242734,530.3738497,696.3954867,852.8806265,867.050611,707.1648132,644.5018399,728.212439,1160.698832,320.7105443,634.4145273,895.1551199,448.313693,514.5867869,618.6787377,454.4199656,912.6959669,1068.28182,450.6339884,845.7347406,1484.272305,575.1631866,500.8933329,318.2608234,454.2557501,610.6205895,635.2447956,698.0753857,923.2394425,378.4162123,1054.737169,515.9061827,594.8431326,813.146552,502.5400362,555.5965609,622.118839,517.2518851,680.8348519,595.365494,260.0615907,440.5733408,554.499911,483.6117154,352.5626854,946.8133541,383.3287065,527.0000305,376.6659131,317.5733182,577.508435,249.8133228,396.2524979,401.1431811,406.9628214,606.956524,680.0237019,405.9814255,554.5738131,418.7600341,847.0871269,581.7831685,494.1843837,408.413646,585.9132125,1067.864828,652.182957,481.4593486,714.5599749,503.9956552,430.9537405,1220.472264
ENSG00000001084,4818.06001,2685.679917,2430.726534,1851.042349,2272.563336,3499.563634,4405.586207,4691.226756,4037.593456,4082.140143,3392.055334,2195.819846,3283.379955,4820.08003,3794.259626,4530.992597,7922.147237,2083.61325,6484.614059,2541.739902,3697.093583,3337.47998,3548.533127,3904.119487,3830.192511,7417.59096,3303.146692,5608.760313,5070.899821,5585.960082,1069.959976,3433.273176,2339.393061,5468.966447,3509.360357,6232.960014,4368.614124,6683.100105,4298.359919,5849.146787,5119.612944,3277.588739,2560.361066,4647.760255,3117.480127,4313.459911,3013.826954,3726.279824,1720.380114,2207.173251,2836.233468,3660.183293,4602.927084,5125.246885,2087.626856,2170.160201,3216.000107,7729.013332,4579.706733,2446.773316,2367.760074,1749.418758,5068.316912,2547.800048,3397.466578,2061.177364,1532.089401,2377.44007,2833.926412,1878.953354,4249.05335,4398.740169,3274.353583,3174.499764,8010.719544,2842.940064,1962.459501,1374.65342,2373.160013,2162.853458,2340.666653,2771.606738,3510.547117,1361.826753,4604.686689,2576.599962,3341.566499,3274.573488,2326.973421,2083.906846,2713.399863,2298.69336,2962.706705,2693.746486,1672.040999,1529.820853,2120.266681,2419.180017,1287.08992,1612.270355,2297.473433,1776.653377,1701.413282,1532.379787,2176.639949,1150.057303,2666.306372,2678.506646,1753.279988,2590.446593,3151.026748,1846.546659,2516.106554,1564.66676,3052.533551,4700.146827,2475.159795,2436.780003,2011.626831,3623.953229,2826.026711,2749.746823,2821.2535,2080.520172,2099.413226,4792.813369
ENSG00000001167,296.6040558,363.0115064,52.52566035,133.1703137,91.88166591,146.0626159,89.65784919,85.14682185,676.3267721,78.73658077,179.1601178,406.0834372,1565.289463,276.756813,180.4273414,382.1357841,221.7719611,89.25575055,385.8572073,115.233093,107.852056,406.4305641,98.59562233,252.2007751,145.8888054,505.9518968,506.4330023,209.2720367,232.0222222,181.7866494,138.4595223,477.8707317,128.2599805,296.226402,134.8423464,135.2290042,434.9708795,667.2799167,179.0262906,357.9568061,97.23928219,84.00043597,100.6439751,631.5917675,61.1312946,367.4346659,560.2940873,147.434444,684.262535,109.7285051,178.6610213,77.66359079,105.0819208,597.9017077,420.982496,775.4600971,108.0474355,367.4991939,105.7186,106.7673193,123.7600775,96.71916957,2115.26881,103.3941801,1124.080566,120.3721824,495.9561714,79.97879939,170.5289624,641.8531993,281.0402441,236.1643909,81.23136235,595.5858775,177.735626,930.3372139,565.6239529,582.8286473,245.8417992,108.6677455,173.5439969,18.13587655,262.8835565,92.9475888,476.4067057,264.4057766,593.0616152,128.2481553,167.4521442,120.5666051,285.4808082,78.6464552,378.3902407,200.3585781,90.07311883,311.6173725,122.3847772,419.1565295,209.7797054,272.4264999,733.2354262,207.450645,227.9379075,312.8482949,195.2698881,471.8544426,320.5121228,134.7834918,326.9784646,256.1086443,124.2370025,220.6503977,264.5016055,100.1999498,319.3364874,93.73333276,118.5873053,448.8831644,144.8058048,131.3126807,134.3542643,132.2358316,63.87496256,197.1207248,100.2245687,334.2309036
